ID,Tipo,Nome do Projeto,Descrição,Prazo (meses),Data de Início,Data de Término Prevista,Status,Verba Total (R$),Verba Gasta (R$),Verba Disponível (R$),Responsável,Órgão Executor,Número de Colaboradores,Criticidade,Percentual de Conclusão (%),Última Atualização,Riscos Identificados,Tecnologias Utilizadas
0001,Obra Pública,Obra Pública 1,Construção de ponte sobre o rio local,24,2022-03-14,2024-03-03,Cancelado,3961991,1916998.87,2044992.13,Maria Silva,Ministério da Educação,23,Alta,48.38,2025-05-31,Problemas de privacidade,"Concreto, Aço, Asfalto"
0002,Obra PúblicaObra Pública 2,Reforma de escola municipal,24,2024-09-24,2026-09-14,Cancelado,3547658,2275368.0,1272290.0,Leonardo Alves,Secretaria de Segurança Pública,10,Alta,64.14,2025-05-31,Resistência interna,"Materiais sustentáveis, Tijolos, Tintas ecológicas"
0003,Projeto TIC,Projeto TIC 3,Descrição detalhada do projeto TIC 3,24,2023-02-15,2025-02-04,Cancelado,2733222,2472956.11,260265.89000000013,Fernanda Lima,Prefeitura de São Paulo,38,Média,90.48,2025-05-31,Baixa adesão dos cidadãos,"Java, Spring Boot, Oracle DB"
0004,Obra Pública,Obra Pública 4,Revitalização de praça pública,19,2023-10-21,2025-05-13,Concluído,596989,568087.32,28901.68000000005,João Pereira,Tribunal de Contas,33,Alta,95.16,2025-05-31,Atraso na entrega de materiais,"Paisagismo, Iluminação pública, Mobiliário urbano"
0005,Projeto TIC,Projeto TIC 5,Descrição detalhada do projeto TIC 5,32,2022-01-19,2024-09-05,Atrasado,3969393,2138486.75,1830906.25,Carlos Souza,Ministério da Saúde,35,Baixa,53.87,2025-05-31,Baixa adesão dos cidadãos,"Java, Spring Boot, Oracle DB"
0006,Obra Pública,Obra Pública 6,Ampliação do sistema de esgoto,14,2021-09-21,2022-11-15,Atrasado,1280096,1052784.02,227311.97999999998,Rafael Santos,Ministério da Saúde,17,Alta,82.24,2025-05-31,Falta de integração entre sistemas legados,"Tubulações, Concreto armado"
0007,Projeto TIC,Projeto TIC 7,Descrição detalhada do projeto TIC 7,32,2023-04-20,2025-12-05,Atrasado,3754121,3038596.86,715524.1400000001,Rafael Santos,Instituto de Meio Ambiente,23,Baixa,80.94,2025-05-31,Falta de financiamento,"Python, Django, Vue.js"
0008,Projeto TIC,Projeto TIC 8,Descrição detalhada do projeto TIC 8,14,2023-02-04,2024-03-30,Concluído,3085680,1403119.54,1682560.46,Carlos Souza,Companhia de Tecnologia da Informação,15,Baixa,45.47,2025-05-31,Falta de financiamento,"Kotlin, Firebase"
0009,Obra Pública,Obra Pública 9,Modernização de terminal rodoviário,14,2023-10-11,2024-12-04,Atrasado,582217,181297.67,400919.32999999996,Luciana Rocha,Secretaria da Fazenda,15,Alta,31.14,2025-05-31,Baixa adesão dos cidadãos,"Estruturas metálicas, Coberturas modernas"
0010,Projeto TIC,Projeto TIC 10,Descrição detalhada do projeto TIC 10,36,2023-05-18,2026-05-02,Concluído,1496582,1003196.88,493385.12,Patrícia Mendes,Ministério da Saúde,34,Alta,67.03,2025-05-31,Dificuldade na coleta de dados,"Java, Spring Boot, Oracle DB"
0011,Projeto TIC,Projeto TIC 11,Descrição detalhada do projeto TIC 11,23,2021-12-17,2023-11-07,Em andamento,3093929,2907056.48,186872.52000000002,Carlos Souza,Ministério da Educação,31,Alta,93.96,2025-05-31,Atraso na entrega de materiais,"Java, Spring Boot, Oracle DB"
0012,Obra Pública,Obra Pública 12,Reforma de escola municipal,30,2022-11-18,2025-05-06,Concluído,3517351,3405918.8,111432.20000000019,Maria Silva,Ouvidoria Geral,16,Alta,96.83,2025-05-31,Problemas de privacidade,"Materiais sustentáveis, Tijolos, Tintas ecológicas"
0013,Projeto TIC,Projeto TIC 13,Descrição detalhada do projeto TIC 13,23,2021-07-10,2023-05-31,Concluído,4040282,1818020.88,2222261.12,Luciana Rocha,Instituto de Meio Ambiente,41,Baixa,45.0,2025-05-31,Problemas de privacidade,"Java, Spring Boot, Oracle DB"
0014,Projeto TIC,Projeto TIC 14,Descrição detalhada do projeto TIC 14,24,2024-09-21,2026-09-11,Em andamento,2353034,1263824.78,1089209.22,João Pereira,Tribunal de Contas,7,Alta,53.71,2025-05-31,Baixa adesão dos cidadãos,"Java, PostgreSQL, React"
0015,Projeto TIC,Projeto TIC 15,Descrição detalhada do projeto TIC 15,35,2022-01-16,2024-12-01,Em andamento,4473399,2230600.57,2242798.43,Leonardo Alves,Instituto de Meio Ambiente,14,Alta,49.86,2025-05-31,Atraso na entrega de materiais,"Java, PostgreSQL, React"
0016,Obra Pública,Obra Pública 16,Ampliação do sistema de esgoto,19,2023-08-16,2025-03-08,Concluído,4464596,3766619.76,697976.2400000002,João Pereira,Secretaria da Fazenda,40,Alta,84.37,2025-05-31,Problemas de privacidade,"Tubulações, Concreto armado"
0017,Obra Pública,Obra Pública 17,Construção de unidade básica de saúde,16,2023-12-26,2025-04-19,Em andamento,746575,664269.29,82305.70999999996,Fernanda Lima,Secretaria de Segurança Pública,17,Média,88.98,2025-05-31,Resistência interna,"Equipamentos médicos, Estrutura modular"
0018,Obra Pública,Obra Pública 18,Reforma de prédio histórico,32,2023-02-06,2025-09-23,Em andamento,3117565,2574868.02,542696.98,Luciana Rocha,Tribunal de Contas,44,Média,82.59,2025-05-31,Dificuldade na coleta de dados,"Restauro arquitetônico, Materiais históricos"
0019,Obra Pública,Obra Pública 19,Modernização de terminal rodoviário,17,2023-08-23,2025-01-14,Atrasado,3546192,2558556.15,987635.8500000001,Carlos Souza,Ministério da Saúde,38,Baixa,72.15,2025-05-31,Dependência de fornecedores,"Estruturas metálicas, Coberturas modernas"
0020,Projeto TIC,Projeto TIC 20,Descrição detalhada do projeto TIC 20,12,2021-01-28,2022-01-23,Atrasado,2436599,1720967.33,715631.6699999999,Rafael Santos,Tribunal de Contas,22,Média,70.63,2025-05-31,Dificuldade na coleta de dados,"Python, Django, Vue.js"
